name,site,category,phone,adress,city,postal_code,latitude,longitude,rating,reviews,working_hours,location_link
Medika Marta 1,Not available,Pharmacy,Not available,"28JP+CWP, Nikola Tesla, Bitola",Bitola,Not available,41.0310821,21.3373391,5,1,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-4PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Medika+Marta+1/@41.0310821,21.337339099999998,14z/data=!4m8!1m2!2m1!1sMedika+Marta+1!3m4!1s0x135724fea557d49f:0x65dc29d587e9f980!8m2!3d41.0310821!4d21.337339099999998"
Eurofarm,http://www.eurofarm.com.mk/,Pharmacy,+389 47 242 488,"Marsal Tito 97, Bitola",Bitola,Not available,41.0270983,21.3366653,3.7,3,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""9AM-3PM""}","https://www.google.com/maps/place/Eurofarm/@41.0270983,21.3366653,14z/data=!4m8!1m2!2m1!1sEurofarm!3m4!1s0x135724fceac0d38b:0x6985c5ea3b39bcdf!8m2!3d41.0270983!4d21.3366653"
Fenix,Not available,Pharmacy,+389 47 242 575,"Pande Nikolov б.б., Bitola 7000",Bitola,7000,41.0327755,21.3348806,4,1,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Fenix/@41.0327755,21.334880599999998,14z/data=!4m8!1m2!2m1!1sFenix!3m4!1s0x135724fe59e69583:0x75fc072f2a0020bc!8m2!3d41.0327755!4d21.334880599999998"
Eurofarm Bukovski livadi,http://www.eurofarm.com.mk/,Pharmacy,+389 47 228 203,"Ilco Stojanovski, Bitola",Bitola,Not available,41.0050869,21.345426,5,2,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Eurofarm+Bukovski+livadi/@41.005086899999995,21.345426,14z/data=!4m8!1m2!2m1!1sEurofarm+Bukovski+livadi!3m4!1s0x13572595b20ada4f:0xb5fdcb5261d4f3de!8m2!3d41.005086899999995!4d21.345426"
BILNA APTEKA & ZDRAVA HRANA,http://bio-herb.org/,Pharmacy,+389 75 339 220,"28MQ+8FP, Bitola",Bitola,Not available,41.0333441,21.338697,Not available,Not available,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-5PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/BILNA+APTEKA+%26+ZDRAVA+HRANA/@41.0333441,21.338697,14z/data=!4m8!1m2!2m1!1sBILNA+APTEKA+%26+ZDRAVA+HRANA!3m4!1s0x1357255d26b67897:0xe587d8b84350137b!8m2!3d41.0333441!4d21.338697"
Eurofarm,Not available,Pharmacy,Not available,"St Clement of Ohrid 30, Bitola 7000",Bitola,7000,41.0260053,21.3335554,4.5,2,Not available,"https://www.google.com/maps/place/Eurofarm/@41.0260053,21.333555399999998,14z/data=!4m8!1m2!2m1!1sEurofarm!3m4!1s0x135725274ec4a2d7:0xeef2efa8f357db3e!8m2!3d41.0260053!4d21.333555399999998"
Аптека Роса Вита,Not available,Pharmacy,+389 47 236 468,"Mosha Pijade, Bitola",Bitola,Not available,41.0325727,21.336152,4.8,11,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}","https://www.google.com/maps/place/%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%D0%A0%D0%BE%D1%81%D0%B0+%D0%92%D0%B8%D1%82%D0%B0/@41.032572699999996,21.336152,14z/data=!4m8!1m2!2m1!1s%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%D0%A0%D0%BE%D1%81%D0%B0+%D0%92%D0%B8%D1%82%D0%B0!3m4!1s0x135724feef629fb3:0x80b93eb57f27f3ea!8m2!3d41.032572699999996!4d21.336152"
Higija Farm,http://www.higijafarm.com/,Pharmacy,+389 47 234 232,"Skopska 17, Bitola 1000",Bitola,1000,41.0319752,21.3369673,4.5,10,"{""Monday"": ""7AM-8PM"", ""Tuesday"": ""7AM-8PM"", ""Wednesday"": ""7AM-8PM"", ""Thursday"": ""7AM-8PM"", ""Friday"": ""7AM-8PM"", ""Saturday"": ""7AM-8PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Higija+Farm/@41.0319752,21.336967299999998,14z/data=!4m8!1m2!2m1!1sHigija+Farm!3m4!1s0x135724fec6b8f647:0xb9547feafacbd0d4!8m2!3d41.0319752!4d21.336967299999998"
Вис Медикус,Not available,Pharmacy,+389 76 233 365,"28HV+HRM, Bitola",Bitola,Not available,41.0289555,21.3445358,Not available,Not available,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""8AM-12PM""}","https://www.google.com/maps/place/%D0%92%D0%B8%D1%81+%D0%9C%D0%B5%D0%B4%D0%B8%D0%BA%D1%83%D1%81/@41.028955499999995,21.3445358,14z/data=!4m8!1m2!2m1!1s%D0%92%D0%B8%D1%81+%D0%9C%D0%B5%D0%B4%D0%B8%D0%BA%D1%83%D1%81!3m4!1s0x135725537de67919:0xa7ba483d3b5cfeb6!8m2!3d41.028955499999995!4d21.3445358"
Neofarm,Not available,Pharmacy,Not available,"28MP+574, Bitola",Bitola,Not available,41.0328969,21.3356933,Not available,Not available,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-4PM""}","https://www.google.com/maps/place/Neofarm/@41.0328969,21.3356933,14z/data=!4m8!1m2!2m1!1sNeofarm!3m4!1s0x135724fefb9a863f:0xb95f932ef98ac39a!8m2!3d41.0328969!4d21.3356933"
P.Z.U Korona Farm,Not available,Pharmacy,+389 47 240 330,"28J7+3Q8, Youth Brigades, Bitola",Bitola,Not available,41.0301534,21.3144426,5,2,"{""Monday"": ""8AM-9:30PM"", ""Tuesday"": ""8AM-9:30PM"", ""Wednesday"": ""8AM-9:30PM"", ""Thursday"": ""8AM-9:30PM"", ""Friday"": ""8AM-9:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/P.Z.U+Korona+Farm/@41.030153399999996,21.3144426,14z/data=!4m8!1m2!2m1!1sP.Z.U+Korona+Farm!3m4!1s0x1357250e002294f5:0xbc67badf6f392d26!8m2!3d41.030153399999996!4d21.3144426"
Аптека Роса Вита 2,Not available,Pharmacy,+389 70 373 283,"Јанко Палигора 20, Bitola 7000",Bitola,7000,41.022521,21.3143811,Not available,Not available,"{""Monday"": ""7:30AM-8:30PM"", ""Tuesday"": ""7:30AM-8:30PM"", ""Wednesday"": ""7:30AM-8:30PM"", ""Thursday"": ""7:30AM-8:30PM"", ""Friday"": ""7:30AM-8:30PM"", ""Saturday"": ""8AM-3PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%D0%A0%D0%BE%D1%81%D0%B0+%D0%92%D0%B8%D1%82%D0%B0+2/@41.022521,21.3143811,14z/data=!4m8!1m2!2m1!1s%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%D0%A0%D0%BE%D1%81%D0%B0+%D0%92%D0%B8%D1%82%D0%B0+2!3m4!1s0x1357253f99d99169:0x3c7feed38d2bbad9!8m2!3d41.022521!4d21.3143811"
Lide Farm,Not available,Pharmacy,Not available,"28FG+G7M, Partizanska, Bitola",Bitola,Not available,41.0238277,21.3256722,Not available,Not available,Not available,"https://www.google.com/maps/place/Lide+Farm/@41.0238277,21.3256722,14z/data=!4m8!1m2!2m1!1sLide+Farm!3m4!1s0x13572578cc18bfb3:0x855413899f12ddfe!8m2!3d41.0238277!4d21.3256722"
Pharmacy Stela,https://www.facebook.com/apteka.stela/,Pharmacy,+389 47 224 293,"Ordan Nikolov 11, Bitola 7000",Bitola,7000,41.0329068,21.3372309,4.5,2,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Pharmacy+Stela/@41.0329068,21.337230899999998,14z/data=!4m8!1m2!2m1!1sPharmacy+Stela!3m4!1s0x1357259714f2845b:0x8b41a94106f4700b!8m2!3d41.0329068!4d21.337230899999998"
Medika Marta 2,Not available,Pharmacy,Not available,"28GH+Q2G, Hristo Botev, Bitola",Bitola,Not available,41.0269401,21.327585,Not available,Not available,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-4PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Medika+Marta+2/@41.0269401,21.327585,14z/data=!4m8!1m2!2m1!1sMedika+Marta+2!3m4!1s0x1357251cb83008bb:0xecce3a214858106d!8m2!3d41.0269401!4d21.327585"
Pharmacy Delta Farm Signatura,Not available,Pharmacy,Not available,"Prilepska, Bitola",Bitola,Not available,41.0325945,21.3421665,Not available,Not available,Not available,"https://www.google.com/maps/place/Pharmacy+Delta+Farm+Signatura/@41.032594499999995,21.342166499999998,14z/data=!4m8!1m2!2m1!1sPharmacy+Delta+Farm+Signatura!3m4!1s0x1357253aaef15f9b:0xe4590c76a24aab2d!8m2!3d41.032594499999995!4d21.342166499999998"
Vita-Pharm,Not available,Pharmacy,+389 47 521 052,"28JM+WXW, Ivan Milutinovic, Bitola",Bitola,Not available,41.032364,21.334958,4,1,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Vita-Pharm/@41.032364,21.334958,14z/data=!4m8!1m2!2m1!1sVita-Pharm!3m4!1s0x135724fe5efb1c2f:0xd282a0743bcdfa38!8m2!3d41.032364!4d21.334958"
"Eurofarm Pharmacy, Еурофарм Аптека",http://eurofarm.com.mk/,Apteka,+389 47 251 396,"Prilepska 3A, Bitola 7000",Bitola,7000,41.0320164,21.3414349,5,1,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-2PM""}","https://www.google.com/maps/place/Eurofarm+Pharmacy%2C+%D0%95%D1%83%D1%80%D0%BE%D1%84%D0%B0%D1%80%D0%BC+%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0/@41.032016399999996,21.3414349,14z/data=!4m8!1m2!2m1!1sEurofarm+Pharmacy%2C+%D0%95%D1%83%D1%80%D0%BE%D1%84%D0%B0%D1%80%D0%BC+%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0!3m4!1s0x135724f8530cddd1:0xe8913a4853fe4626!8m2!3d41.032016399999996!4d21.3414349"
Apteka Medika viva,Not available,Pharmacy,+389 47 520 582,"MK, Filip II Makedonski 11, Bitola 7000",Bitola,7000,41.0328468,21.3358365,Not available,Not available,"{""Monday"": ""7:30AM-11PM"", ""Tuesday"": ""7:30AM-11PM"", ""Wednesday"": ""7:30AM-11PM"", ""Thursday"": ""7:30AM-11PM"", ""Friday"": ""7:30AM-11PM"", ""Saturday"": ""7:30AM-11PM"", ""Sunday"": ""7:30AM-11PM""}","https://www.google.com/maps/place/Apteka+Medika+viva/@41.0328468,21.3358365,14z/data=!4m8!1m2!2m1!1sApteka+Medika+viva!3m4!1s0x1357253e190fe8bd:0x9034eb237e8ffc0e!8m2!3d41.0328468!4d21.3358365"
Zegin Pelagonka,http://www.zegin.com.mk/,Pharmacy,Not available,"28MV+RG8, Prilepska, Bitola",Bitola,Not available,41.0345499,21.3438338,4,2,Not available,"https://www.google.com/maps/place/Zegin+Pelagonka/@41.034549899999995,21.3438338,14z/data=!4m8!1m2!2m1!1sZegin+Pelagonka!3m4!1s0x13572457fd38cdbd:0x4f496b18e828dec8!8m2!3d41.034549899999995!4d21.3438338"
Prima Lek,Not available,Pharmacy,+389 47 235 102,"Борис Кидриќ 1, Boris Kidrić 1, Bitola 7000",Bitola,7000,41.0280098,21.3363552,4,9,"{""Monday"": ""8AM-11PM"", ""Tuesday"": ""8AM-11PM"", ""Wednesday"": ""8AM-11PM"", ""Thursday"": ""8AM-11PM"", ""Friday"": ""8AM-11PM"", ""Saturday"": ""8AM-11PM"", ""Sunday"": ""8AM-3PM""}","https://www.google.com/maps/place/Prima+Lek/@41.0280098,21.3363552,14z/data=!4m8!1m2!2m1!1sPrima+Lek!3m4!1s0x135724fcf3e4bb05:0x95eb70ff3495ae13!8m2!3d41.0280098!4d21.3363552"
"Аптека ""Адонис""",Not available,Pharmacy,+389 47 612 940,"28J2+JP3, Metodija Andonov Chento, Bitola",Bitola,Not available,41.0315147,21.3017818,5,1,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""8AM-12PM""}","https://www.google.com/maps/place/%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%22%D0%90%D0%B4%D0%BE%D0%BD%D0%B8%D1%81%22/@41.031514699999995,21.3017818,14z/data=!4m8!1m2!2m1!1s%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%22%D0%90%D0%B4%D0%BE%D0%BD%D0%B8%D1%81%22!3m4!1s0x135725a7cb55be37:0x863cbf9754e42403!8m2!3d41.031514699999995!4d21.3017818"
Zegin,Not available,Pharmacy,Not available,"Solunska 89, Bitola",Bitola,Not available,41.0269667,21.327539,Not available,Not available,Not available,"https://www.google.com/maps/place/Zegin/@41.026966699999996,21.327538999999998,14z/data=!4m8!1m2!2m1!1sZegin!3m4!1s0x1357251db967d5a5:0xc9660305ae45dba!8m2!3d41.026966699999996!4d21.327538999999998"
Eliksir,Not available,Pharmacy,+389 47 224 499,"Stevo Patako br, 1",Bitola,Not available,41.0270303,21.332676,Not available,Not available,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Eliksir/@41.0270303,21.332676,14z/data=!4m8!1m2!2m1!1sEliksir!3m4!1s0x135725138230d319:0x422a7583b8962e02!8m2!3d41.0270303!4d21.332676"
Eurofarm Centar,Not available,Pharmacy,+389 47 224 224,"28JP+4HC, Josif Josifovski, Bitola",Bitola,Not available,41.0303005,21.3363776,5,3,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Eurofarm+Centar/@41.030300499999996,21.3363776,14z/data=!4m8!1m2!2m1!1sEurofarm+Centar!3m4!1s0x135724fc23d2c697:0x82a1b859f0788dd2!8m2!3d41.030300499999996!4d21.3363776"
Olimpija Pharmacy,Not available,Pharmacy,+389 78 314 109,"6683+PJH, Bitolska, Demir Hisar",Demir Hisar,6683,41.216823,21.2041076,4.7,3,"{""Monday"": ""7AM-10PM"", ""Tuesday"": ""7AM-10PM"", ""Wednesday"": ""7AM-10PM"", ""Thursday"": ""7AM-10PM"", ""Friday"": ""7AM-10PM"", ""Saturday"": ""7AM-10PM"", ""Sunday"": ""7AM-10PM""}","https://www.google.com/maps/place/Olimpija+Pharmacy/@41.216823,21.2041076,14z/data=!4m8!1m2!2m1!1sOlimpija+Pharmacy!3m4!1s0x1356d689b2815689:0xfbfbc4ea169a1a36!8m2!3d41.216823!4d21.2041076"
Натура Лек,Not available,Pharmacy,+389 47 266 602,"X9WJ+44Q, Unnamed Road, Kravari",Kravari,Not available,40.995331,21.3803458,3,4,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/%D0%9D%D0%B0%D1%82%D1%83%D1%80%D0%B0+%D0%9B%D0%B5%D0%BA/@40.995331,21.3803458,14z/data=!4m8!1m2!2m1!1s%D0%9D%D0%B0%D1%82%D1%83%D1%80%D0%B0+%D0%9B%D0%B5%D0%BA!3m4!1s0x1357237e490c756d:0x4e3c4cbdd237b3bc!8m2!3d40.995331!4d21.3803458"
"Аптека ""Алпи Фарм""",Not available,Pharmacy,Not available,"W4Q4+CF2, Arvati, Krani",Krani,Not available,40.9385226,21.1061357,Not available,Not available,"{""Monday"": ""8AM-2PM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""8AM-2PM"", ""Thursday"": ""Closed"", ""Friday"": ""8AM-2PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%22%D0%90%D0%BB%D0%BF%D0%B8+%D0%A4%D0%B0%D1%80%D0%BC%22/@40.9385226,21.1061357,14z/data=!4m8!1m2!2m1!1s%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0+%22%D0%90%D0%BB%D0%BF%D0%B8+%D0%A4%D0%B0%D1%80%D0%BC%22!3m4!1s0x13573503c0f8db7d:0x122a4c085a489e61!8m2!3d40.9385226!4d21.1061357"
Pasholi Pharmacy,https://zk.mk/pasholi,Pharmacy,+389 46 255 070,"4Q8X+P5X, Св. Кирил и Методиј, Ohrid 6000",Ohrid,6000,41.1168748,20.7979926,4.6,9,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Pasholi+Pharmacy/@41.1168748,20.7979926,14z/data=!4m8!1m2!2m1!1sPasholi+Pharmacy!3m4!1s0x1350dca2fb13f7fb:0x7209538accf14d64!8m2!3d41.1168748!4d20.7979926"
